Name,Type,Category,PIDs,Quantities
Rechta,Dinner,Traditional,"1;110;191;84;162;152","200 g;100 g;80 g;100 g;15 ml;2 g"
Chakhchoukha,Dinner,Traditional,"9;110;191;84;162;152","200 g;120 g;80 g;100 g;15 ml;2 g"
Chicken Mchermel,Dinner,Traditional,"110;191;84;162;152;200","200 g;80 g;100 g;15 ml;2 g;50 g"
Tajine Zitoun,Lunch,Traditional,"110;146;191;162;152;84","200 g;80 g;80 g;15 ml;2 g;50 g"
Aiche,Dinner,Traditional,"9;110;84;191;162;152","200 g;150 g;100 g;80 g;15 ml;2 g"
Loubia Chicken Plate,Lunch,Traditional,"79;309;262;320","110 g;150 g;90 g;10 ml"
Chorba Frik Chicken,Dinner,Traditional,"307;309;227;191;262;320","90 g;140 g;60 g;80 g;80 g;10 ml"
Harira,Dinner,Traditional,"86;84;191;262;227;320","90 g;90 g;80 g;100 g;60 g;10 ml"
Tajine Patates Douces,Dinner,Traditional,"238;241;309;320;257","300 g;2 g;500 g;15 ml;40 g"
Shakshuka,Dinner,Traditional,"320;238;248;179;262;241;313","45 ml;200 g;120 g;6 g;250 g;45 g;200 g"
Dolma,Dinner,Traditional,"311;84;163;238;313;81","250 g;30 g;12 ml;80 g;12 g;8 g"
Mthouem,Dinner,Traditional,"311;163;72;179;313","250 g;8 ml;8 g;1 g;12 g"
Kbab,Dinner,Traditional,"309;238;249;163;84;313","150 g;70 g;330 g;10 ml;100 g;33 g"
