Name,Type,Category,PIDs,Quantities
M'semen,Breakfast,Vegetarian,"200;9;162;152;17","150 g;50 g;20 ml;2 g;100 ml"
Sfenj,Breakfast,Vegetarian,"200;307;162;152;17","200 g;5 g;500 ml;2 g;200 ml"
Kesra,Breakfast,Vegetarian,"9;200;162;152;17","250 g;50 g;15 ml;2 g;150 ml"
Rfiss,Breakfast,Vegetarian,"9;301;308;306;302","200 g;100 g;10 g;30 g;20 ml"
Tchicha,Lunch,Non-Vegetarian,"9;110;191;204;162;152","150 g;120 g;80 g;100 g;15 ml;2 g"
Chorba Hamra,Lunch,Non-Vegetarian,"110;204;191;84;162;152","150 g;100 g;80 g;80 g;15 ml;2 g"
Chorba el Djaj,Lunch,Non-Vegetarian,"110;191;1;204;162;152","200 g;80 g;80 g;100 g;15 ml;2 g"
Hlalem,Lunch,Non-Vegetarian,"200;110;191;84;162;152","200 g;120 g;80 g;100 g;15 ml;2 g"
Doubara,Lunch,Vegetarian,"84;204;162;152;191","200 g;100 g;15 ml;2 g;80 g"
Shorba Lham,Lunch,Non-Vegetarian,"110;191;204;162;152;17","150 g;80 g;100 g;15 ml;2 g;400 ml"
Couscous au Lait,Dinner,Vegetarian,"9;305;3;306;304","200 g;300 ml;30 g;20 g;50 g"
Mesfouf,Dinner,Vegetarian,"9;306;304;305;152","300 g;30 g;50 g;200 ml;1 g"
Chorba Beida,Dinner,Non-Vegetarian,"110;191;1;162;152;17","150 g;80 g;80 g;15 ml;2 g;400 ml"
Osbane,Dinner,Non-Vegetarian,"110;81;191;84;162;152","200 g;100 g;80 g;80 g;15 ml;2 g"
M'hammer,Dinner,Non-Vegetarian,"110;191;162;152;204","800 g;150 g;30 ml;5 g;100 g"
Chakhchoukha Sahraoui,Dinner,Non-Vegetarian,"200;110;191;84;162;152","200 g;150 g;80 g;100 g;15 ml;2 g"
Djej Mechoui,Dinner,Non-Vegetarian,"110;162;152;191;204","800 g;30 ml;5 g;100 g;50 g"
Marka Hamra,Dinner,Non-Vegetarian,"110;204;191;162;152","200 g;150 g;100 g;15 ml;2 g"
Lham Bel Barba,Dinner,Non-Vegetarian,"110;191;162;152;204","300 g;100 g;15 ml;2 g;200 g"
Hchaichi,Dinner,Non-Vegetarian,"110;81;191;162;152","200 g;100 g;80 g;15 ml;2 g"
